Suburb,Interchange_Type,Location,Type,Total_Lockers_at_Location,Total_Spaces_at_Shed,Bike_Rack_Spaces,Vertical_Hanging_Spaces,Multi_tier_Bike_Parking_Spaces,Latitude,Longitude,OBJECTID
Ashfield,Train,"Ashfield Station (Brown Street), Ashfield",Bike Shed,,50,50,,,-33.88823,151.12688,1
Bella Vista,Metro,"Bella Vista Station, Bella Vista",Bike Shed,,26,,,26,-33.7314,150.94437,2
Blacktown,Train,"Blacktown Station  (Main St), Blacktown",Bike Shed,,32,16,16,,-33.768675,150.906617,3
Bondi Junction,Train,Bondi Junction Station (cnr Grafton & Newlands Sts),Bike Shed,,51,26,25,,-33.8908448,151.2492283,4
Brookvale,B-Line,"Brookvale (William St), Brookvale",Bike Shed,,32,32,,,-33.76807,151.269,5
Campbelltown,Train,"Campbelltown Station  (Hurley St), Campbelltown",Bike Shed,,27,12,15,,-34.064622,150.813653,6
Caringbah,Train,"Caringbah Station (Kingsway), Caringbah",Bike Shed,,24,12,12,,-34.0416994,151.121091,7
Castle Hill,Metro,"Castle Hill Station, Castle Hill",Bike Shed,,16,,,16,-33.73139,151.00724,8
Cherrybrook,Metro,"Cherrybrook Station, Cherrybrook",Bike Shed,,36,,,36,-33.73708405,151.0330689,9
Crows Nest,Metro,"Crows Nest Station, Crows Nest",Bike Shed,,145,,115,30,-33.8263835,151.1996912,10
Edgecliff,Train,"Edgecliff Train Station , Edgecliff ",Bike Shed,,48,24,24,,-33.8792306,151.2359907,11
Emu Plains,Train,Emu Plains Station (Mackellar St),Bike Shed,,32,16,16,,-33.745531,150.67154,12
Epping,Train,"Epping Station  (Langston Pl), Epping",Bike Shed,,34,6,28,,-33.773518,151.082757,13
Gosford,Train,Gosford Station (Burns Cres),Bike Shed,,38,8,30,,-33.4239938,151.3418002,14
Green Square,Train,"Green Square (O'Riordan St and Botany Rd, Alexandria), Green Square",Bike Shed,,51,26,25,,-33.905986,151.202563,15
Holsworthy,Train,Holsworthy Station (The Boulevarde),Bike Shed,,24,12,12,,-33.962814,150.9562572,16
Hornsby,Train,"Hornsby Station  (Cnr Station & Jersey St), Hornsby",Bike Shed,,33,18,15,,-33.7036667,151.0987222,17
Ingleburn,Train,Ingleburn Station (Ingleburn Rd),Bike Shed,,28,28,,,-33.99798775,150.8642454,18
